ID;Accepted_species;Accepted_family;Genus_matched;Accepted_name_author;Accepted_name_url;life_form_Cardoso_et_al_2017;Bolivia;Brazil;Colombia;Ecuador;French_Guiana;Guyana;Herrero_Jauregui_et_al_2013;Peru;Piponiot_et_al_2019;Suriname;Venezuela;number_individuals_ATDN_plots;number_plots_ATDN_plots;estimated_ind_Amazon;log10_est_ind_Amazon;check_hyperdominant_spp;Forest_type_IV_max_hyperdominant;IV.indcls_hyperdominant;check ITTO_commercial_spp;check ITTO_LUS_spp;redlistCategory_IUCN_2022;yearPublished_IUCN_2022;Original_AOO_2050_IGS;Original_AOO_2050_BAU;2050_RCP_2.6;2050_RCP 8.5;2050_RCP 2.6_2050_IGS;2050_RCP 2.6_2050_BAU;2050_RCP 8.5_2050_IGS;2050_RCP_8.5_2050_BAU;Sub_region_AOO;check_CITES;appendix_CITES
245;Cynometra hostmanniana;Fabaceae;Cynometra;Tul.;http://www.tropicos.org/Name/13048518;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;117;24;38430200;8;NA;NA;0;NA;NA;NA;NA;VU;EN;EN;CR;CR;CR;CR;CR;GS;NA;NA
246;Cynometra marginata;Fabaceae;Cynometra;Benth.;http://www.tropicos.org/Name/13029692;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;543;49;267260795;8;1;5;0.07;NA;NA;Least Concern;2012;VU;VU;VU;EN;EN;EN;EN;CR;GS;NA;NA
247;Dacryodes chimantensis;Burseraceae;Dacryodes;Steyerm. & Maguire;http://www.tropicos.org/Name/4700417;tree;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;206;56;126518254;8;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;VU;VU;VU;VU;VU;VU;WAN;NA;NA
248;Dacryodes nitens;Burseraceae;Dacryodes;Cuatrec.;http://www.tropicos.org/Name/4700420;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;239;94;72077304;8;NA;NA;0;NA;NA;Least Concern;2021;NA;VU;NA;VU;VU;VU;VU;VU;GS;NA;NA
249;Dacryodes peruviana;Burseraceae;Dacryodes;(Loes.) H.J. Lam;http://www.tropicos.org/Name/4700229;tree;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;318;77;110551941;8;NA;NA;0;NA;NA;Least Concern;2020;NA;NA;NA;VU;VU;VU;VU;VU;WAN;NA;NA
250;Dalbergia spruceana;Fabaceae;Dalbergia;Benth.;http://www.tropicos.org/Name/13018088;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;0;NA;NA;NA;0;NA;1;Vulnerable;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;II
251;Dendrobangia boliviana;Metteniusaceae;Dendrobangia;Rusby;http://www.tropicos.org/Name/16400088;tree;NA;NA;1;NA;1;NA;NA;NA;1;1;NA;1044;266;219002533;8;NA;NA;0;NA;1;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;EN;GS;NA;NA
252;Dendropanax arboreus;Araliaceae;Dendropanax;(L.) Decne. & Planch.;http://www.tropicos.org/Name/2200335;tree;1;NA;NA;NA;NA;NA;NA;NA;1;NA;1;286;94;102398878;8;NA;NA;0;NA;NA;NA;NA;NA;VU;VU;VU;VU;VU;VU;EN;WAN;NA;NA
253;Dialium guianense;Fabaceae;Dialium;(Aubl.) Sandwith;http://www.tropicos.org/Name/13017824;tree;1;NA;1;NA;NA;NA;1;1;1;NA;NA;2118;582;973332695;9;1;4;0.13;NA;NA;Least Concern;2019;VU;VU;NA;NA;VU;VU;VU;VU;SA;NA;NA
254;Diclinanona calycina;Annonaceae;Diclinanona;(Diels) R.E. Fr.;http://www.tropicos.org/Name/1600753;tree;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;53;37;24912629;7;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;VU;WAN;NA;NA
255;Dicorynia guianensis;Fabaceae;Dicorynia;Amshoff;http://www.tropicos.org/Name/13017829;tree;NA;NA;NA;NA;1;NA;NA;NA;1;1;NA;1362;123;201938446;8;NA;NA;0;NA;1;NA;NA;NA;VU;EN;CR;EN;EN;CR;CR;GS;NA;NA
256;Dimorphandra conjugata;Fabaceae;Dimorphandra;(Splitg.) Sandwith;http://www.tropicos.org/Name/13017858;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;52;1;18472389;7;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
257;Dimorphandra polyandra;Fabaceae;Dimorphandra;Benoist;http://www.tropicos.org/Name/13017875;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;87;5;7134698;7;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
258;Dimorphandra pullei;Fabaceae;Dimorphandra;Amshoff;http://www.tropicos.org/Name/13017876;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;VU;VU;VU;EN;EN;EN;EN;CR;GS;NA;NA
259;Dinizia excelsa;Fabaceae;Dinizia;Ducke;http://www.tropicos.org/Name/13017879;tree;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;271;118;64246581;8;NA;NA;0;1;NA;Least Concern;2019;VU;EN;EN;EN;EN;CR;EN;CR;SA;NA;NA
260;Diospyros carbonaria;Ebenaceae;Diospyros;Benoist;http://www.tropicos.org/Name/50162524;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;116;58;34098448;8;NA;NA;0;NA;NA;Least Concern;2021;VU;EN;VU;EN;EN;CR;EN;CR;GS;NA;NA
261;Diospyros cayennensis;Ebenaceae;Diospyros;A. DC.;http://www.tropicos.org/Name/50295617;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;80;32;15706386;7;NA;NA;0;NA;NA;Least Concern;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
262;Diospyros vestita;Ebenaceae;Diospyros;Benoist;http://www.tropicos.org/Name/50162551;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;349;74;63883248;8;NA;NA;0;NA;NA;NA;NA;VU;VU;EN;EN;EN;CR;EN;CR;GS;NA;NA
263;Diploon cuspidatum;Sapotaceae;Diploon;(Hoehne) Cronquist;http://www.tropicos.org/Name/28700885;tree;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;85;44;20844140;7;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
264;Diplotropis purpurea;Fabaceae;Diplotropis;(Rich.) Amshoff;http://www.tropicos.org/Name/13000464;tree;NA;1;NA;NA;1;1;1;NA;1;1;1;613;258;262220254;8;1;4;0.1;NA;1;Least Concern;2019;VU;VU;VU;VU;VU;VU;VU;EN;GS;NA;NA
265;Diplotropis triloba;Fabaceae;Diplotropis;Gleason;http://www.tropicos.org/Name/13000474;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;90;21;5782710;7;NA;NA;0;NA;NA;Least Concern;2012;VU;EN;EN;EN;EN;CR;EN;CR;CA;NA;NA
266;Dipteryx charapilla;Fabaceae;Dipteryx;(J.F. Macbr.) Ducke;http://www.tropicos.org/Name/13000477;tree;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;Vulnerable;1998;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
267;Dipteryx magnifica;Fabaceae;Dipteryx;Ducke;http://www.tropicos.org/Name/13058688;tree;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;276;97;40585350;8;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
268;Dipteryx micrantha;Fabaceae;Dipteryx;Harms;http://www.tropicos.org/Name/13000481;tree;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;67;42;22893336;7;NA;NA;0;NA;NA;Data Deficient;2017;NA;VU;VU;VU;VU;VU;VU;EN;WAN;NA;NA
269;Dipteryx odorata;Fabaceae;Dipteryx;(Aubl.) Forsyth f.;http://www.tropicos.org/Name/100476299;tree;1;1;1;NA;1;1;1;1;1;1;NA;735;269;169482191;8;NA;NA;0;1;NA;Data Deficient;2017;VU;VU;NA;VU;VU;VU;VU;EN;GS;NA;NA
270;Dipteryx polyphylla;Fabaceae;Dipteryx;Huber;http://www.tropicos.org/Name/13058686;tree;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;57;37;43742473;8;NA;NA;0;NA;NA;Near Threatened;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
271;Dipteryx punctata;Fabaceae;Dipteryx;(S.F. Blake) Amshoff;http://www.tropicos.org/Name/13000487;tree;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;65;47;13625546;7;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;EN;VU;EN;GS;NA;NA
272;Discophora guianensis;Stemonuraceae;Discophora;Miers;http://www.tropicos.org/Name/16400067;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;244;80;61718150;8;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;VU;CA;NA;NA
273;Drypetes variabilis;Putranjivaceae;Drypetes;Uittien;http://www.tropicos.org/Name/12805877;tree;NA;NA;NA;NA;NA;NA;1;NA;1;1;1;980;288;290686331;8;NA;NA;0;NA;NA;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
274;Duckeodendron cestroides;Solanaceae;Duckeodendron;Kuhlm.;http://www.tropicos.org/Name/29600694;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;106;67;17936378;7;NA;NA;0;NA;NA;Least Concern;2021;VU;EN;CR;CR;CR;CR;CR;CR;CA;NA;NA
275;Duguetia calycina;Annonaceae;Duguetia;Benoist;http://www.tropicos.org/Name/1600136;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;186;72;37451692;8;NA;NA;0;NA;NA;Least Concern;2019;VU;EN;EN;EN;EN;CR;EN;CR;GS;NA;NA
276;Duguetia neglecta;Annonaceae;Duguetia;Sandwith;http://www.tropicos.org/Name/1600149;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;69;21;13444795;7;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;CR;CR;CR;CR;CR;CR;GS;NA;NA
277;Duguetia pycnastera;Annonaceae;Duguetia;Sandwith;http://www.tropicos.org/Name/1601705;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;328;72;105730858;8;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;EN;EN;EN;CR;CR;GS;NA;NA
278;Duguetia surinamensis;Annonaceae;Duguetia;R.E. Fr.;http://www.tropicos.org/Name/1601770;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;242;101;56761426;8;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;EN;EN;EN;GS;NA;NA
279;Duguetia yeshidan;Annonaceae;Duguetia;Sandwith;http://www.tropicos.org/Name/1601710;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;5;2;1264454;6;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
280;Duroia aquatica;Rubiaceae;Duroia;(Aubl.) Bremek.;http://www.tropicos.org/Name/27910084;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;100;46;15639198;7;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
281;Duroia eriopila;Rubiaceae;Duroia;L. f.;http://www.tropicos.org/Name/27907179;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;215;66;60757050;8;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;VU;EN;EN;EN;EN;GS;NA;NA
282;Duroia genipoides;Rubiaceae;Duroia;Hook. f. ex K. Schum.;http://www.tropicos.org/Name/27906676;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;105;25;44674476;8;NA;NA;0;NA;NA;Least Concern;2020;NA;VU;VU;EN;VU;EN;EN;EN;GS;NA;NA
283;Duroia longiflora;Rubiaceae;Duroia;Ducke;http://www.tropicos.org/Name/27900929;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;132;46;18957372;7;NA;NA;0;NA;NA;NA;NA;VU;VU;CR;CR;CR;CR;CR;CR;GS;NA;NA
284;Duroia micrantha;Rubiaceae;Duroia;(Ladbr.) Zarucchi & J.H. Kirkbr.;http://www.tropicos.org/Name/27907005;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;144;17;28089686;7;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;NA;VU;VU;VU;VU;VU;GS;NA;NA
285;Dussia tessmannii;Fabaceae;Dussia;Harms;http://www.tropicos.org/Name/13000618;tree;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;111;69;37670289;8;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;WAN;NA;NA
286;Ecclinusa guianensis;Sapotaceae;Ecclinusa;Eyma;http://www.tropicos.org/Name/28700411;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;2587;438;640837539;9;1;4;0.12;NA;NA;Least Concern;2020;VU;VU;VU;VU;VU;VU;VU;EN;GS;NA;NA
287;Ecclinusa lanceolata;Sapotaceae;Ecclinusa;(Mart. & Eichler) Pierre;http://www.tropicos.org/Name/28700671;tree;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;199;86;85053664;8;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;VU;CA;NA;NA
288;Ecclinusa ramiflora;Sapotaceae;Ecclinusa;Mart.;http://www.tropicos.org/Name/28700215;tree;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;616;115;101679693;8;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
289;Endlicheria gracilis;Lauraceae;Endlicheria;Kosterm.;http://www.tropicos.org/Name/17802540;shrub/ tree;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;3;3;464259;6;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;VU;CA;NA;NA
290;Endlicheria griseosericea;Lauraceae;Endlicheria;Chanderb.;http://www.tropicos.org/Name/50189478;tree;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;3;2;1725106;6;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;VU;VU;VU;VU;VU;EN;WAN;NA;NA
291;Endlicheria multiflora;Lauraceae;Endlicheria;(Miq.) Mez;http://www.tropicos.org/Name/17800162;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;14;7;10432220;7;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;EN;EN;EN;EN;EN;GS;NA;NA
292;Endopleura uchi;Humiriaceae;Endopleura;(Huber) Cuatrec.;http://www.tropicos.org/Name/15800115;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;1429;186;153984131;8;NA;NA;0;NA;1;Least Concern;2019;VU;EN;EN;EN;EN;CR;EN;CR;SA;NA;NA
293;Enterolobium cyclocarpum;Fabaceae;Enterolobium;(Jacq.) Griseb.;http://www.tropicos.org/Name/13030083;tree;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;17;13;4050082;7;NA;NA;0;NA;1;Least Concern;2019;NA;NA;CR;CR;CR;CR;CR;CR;GS;NA;NA
294;Enterolobium maximum;Fabaceae;Enterolobium;Ducke;http://www.tropicos.org/Name/13009189;tree;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;175;43;38532522;8;NA;NA;0;NA;1;Least Concern;2020;VU;EN;EN;EN;EN;CR;EN;CR;SA;NA;NA
295;Enterolobium oldemanii;Fabaceae;Enterolobium;Barneby & J.W. Grimes;http://www.tropicos.org/Name/50096081;tree;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;20;16;2364045;6;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
296;Enterolobium schomburgkii;Fabaceae;Enterolobium;(Benth.) Benth.;http://www.tropicos.org/Name/13030088;tree;NA;1;1;NA;1;NA;1;1;1;1;NA;648;244;203262309;8;NA;NA;0;NA;1;Least Concern;2012;VU;VU;VU;VU;VU;EN;VU;EN;SA;NA;NA
297;Eperua falcata;Fabaceae;Eperua;Aubl.;http://www.tropicos.org/Name/13030093;tree;NA;NA;NA;NA;1;1;NA;NA;1;1;NA;6377;148;1312108272;9;1;2;0.28;NA;NA;Least Concern;2019;NA;VU;EN;EN;EN;EN;EN;EN;GS;NA;NA
298;Eperua grandiflora;Fabaceae;Eperua;(Aubl.) Benth.;http://www.tropicos.org/Name/13030095;tree;NA;NA;NA;NA;1;NA;NA;NA;1;1;NA;1641;57;285321793;8;1;2;0.19;NA;NA;Least Concern;2019;NA;VU;VU;EN;EN;EN;EN;EN;GS;NA;NA
299;Eperua jenmanii;Fabaceae;Eperua;Oliv.;http://www.tropicos.org/Name/13009200;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;357;12;140591198;8;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;EN;EN;EN;EN;EN;CR;GS;NA;NA
300;Eperua leucantha;Fabaceae;Eperua;Benth.;http://www.tropicos.org/Name/13030096;tree;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1574;23;1082808046;9;1;2;0.14;NA;NA;NA;NA;NA;NA;EN;EN;EN;EN;EN;CR;GS;NA;NA
301;Eperua rubiginosa;Fabaceae;Eperua;Miq.;http://www.tropicos.org/Name/13030099;tree;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;588;10;77704704;8;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;EN;EN;EN;EN;EN;GS;NA;NA
302;Eperua schomburgkiana;Fabaceae;Eperua;Benth.;http://www.tropicos.org/Name/13045646;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;71;12;19652437;7;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;CR;CR;CR;CR;CR;CR;GS;NA;NA
303;Eriotheca crassa;Malvaceae;Eriotheca;(Uittien) A. Robyns;http://www.tropicos.org/Name/50097912;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;14;2;381072;6;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
304;Eriotheca globosa;Malvaceae;Eriotheca;(Aubl.) A. Robyns;http://www.tropicos.org/Name/3900649;tree;NA;NA;NA;NA;NA;NA;1;1;1;1;NA;394;174;105666594;8;NA;NA;0;NA;NA;Least Concern;2020;VU;VU;VU;VU;VU;VU;VU;EN;SA;NA;NA
305;Eriotheca longipedicellata;Malvaceae;Eriotheca;(Ducke) A. Robyns;http://www.tropicos.org/Name/50222339;tree;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;202;81;58186264;8;NA;NA;0;NA;1;Vulnerable;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;Eriotheca longitubulosa;Malvaceae;Eriotheca;A. Robyns;http://www.tropicos.org/Name/50162321;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;57;36;14537534;7;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;Eriotheca surinamensis;Malvaceae;Eriotheca;(Uittien) A. Robyns;http://www.tropicos.org/Name/50222336;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;34;19;10840892;7;NA;NA;0;NA;NA;NA;NA;VU;EN;EN;CR;CR;CR;CR;CR;SA;NA;NA
308;Erisma bicolor;Vochysiaceae;Erisma;Ducke;http://www.tropicos.org/Name/34100246;tree;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;218;110;75694133;8;NA;NA;0;NA;NA;NA;NA;NA;NA;EN;EN;EN;EN;EN;EN;WAN;NA;NA
309;Erisma laurifolium;Vochysiaceae;Erisma;Spruce ex Warm.;http://www.tropicos.org/Name/34100011;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;298;50;125054356;8;NA;NA;0;NA;NA;NA;NA;NA;VU;VU;VU;VU;EN;VU;EN;CA;NA;NA
310;Erisma splendens;Vochysiaceae;Erisma;Stafleu;http://www.tropicos.org/Name/34100179;tree;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;92;26;40297455;8;NA;NA;0;NA;NA;NA;NA;NA;VU;EN;EN;EN;EN;EN;EN;CA;NA;NA
311;Erisma uncinatum;Vochysiaceae;Erisma;Warm.;http://www.tropicos.org/Name/34100014;tree;NA;1;1;1;NA;NA;1;1;1;1;1;831;191;297910897;8;1;4;0.08;1;NA;Least Concern;2020;VU;VU;NA;NA;VU;VU;VU;VU;GS;NA;NA
312;Erythrina fusca;Fabaceae;Erythrina;Lour.;http://www.tropicos.org/Name/13030223;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;41;7;21389682;7;NA;NA;0;NA;NA;Least Concern;2021;VU;VU;NA;VU;VU;VU;VU;EN;GS;NA;NA
313;Erythrina poeppigiana;Fabaceae;Erythrina;(Walp.) O.F. Cook;http://www.tropicos.org/Name/13009315;tree;NA;NA;NA;1;NA;NA;1;NA;NA;NA;1;19;9;7776386;7;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;EN;EN;EN;GS;NA;NA
314;Eschweilera albiflora;Lecythidaceae;Eschweilera;(DC.) Miers;http://www.tropicos.org/Name/17900349;tree;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1414;153;917840811;9;1;1;0.24;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;EN;VU;EN;CA;NA;NA
315;Eschweilera amazonica;Lecythidaceae;Eschweilera;R. Knuth;http://www.tropicos.org/Name/50098961;tree;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;3016;196;539124254;9;NA;NA;0;NA;NA;Least Concern;2021;VU;EN;CR;EN;CR;CR;CR;CR;SA;NA;NA
316;Eschweilera chartaceifolia;Lecythidaceae;Eschweilera;S.A. Mori;http://www.tropicos.org/Name/17900335;tree;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;258;80;116529890;8;NA;NA;0;NA;NA;NA;NA;NA;VU;EN;VU;EN;EN;EN;EN;CA;NA;NA
317;Eschweilera collina;Lecythidaceae;Eschweilera;Eyma;http://www.tropicos.org/Name/17900320;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;975;166;218674267;8;NA;NA;0;NA;NA;Least Concern;2020;NA;VU;EN;EN;EN;EN;EN;CR;GS;NA;NA
318;Eschweilera coriacea;Lecythidaceae;Eschweilera;(DC.) S.A. Mori;http://www.tropicos.org/Name/17900314;tree;1;1;1;NA;NA;NA;1;1;1;1;NA;16101;932;4684630963;10;1;4;0.36;NA;NA;Least Concern;2019;VU;VU;NA;VU;VU;VU;VU;VU;GS;NA;NA
319;Eschweilera decolorans;Lecythidaceae;Eschweilera;Sandwith;http://www.tropicos.org/Name/17900345;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1484;130;309687919;8;1;4;0.06;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;EN;GS;NA;NA
320;Eschweilera gigantea;Lecythidaceae;Eschweilera;(R. Knuth) J.F. Macbr.;http://www.tropicos.org/Name/17900142;tree;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;342;83;125947558;8;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;NA;NA;VU;VU;NA;NA;WAN;NA;NA
321;Eschweilera grandiflora;Lecythidaceae;Eschweilera;(Aubl.) Sandwith;http://www.tropicos.org/Name/17900343;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;3305;330;849583244;9;1;4;0.23;NA;NA;NA;NA;VU;VU;EN;EN;EN;EN;CR;CR;CA;NA;NA
322;Eschweilera itayensis;Lecythidaceae;Eschweilera;R. Knuth;http://www.tropicos.org/Name/17900146;tree;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;490;87;224191012;8;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;EN;EN;EN;EN;EN;EN;WAN;NA;NA
323;Eschweilera juruensis;Lecythidaceae;Eschweilera;R. Knuth;http://www.tropicos.org/Name/17900147;tree;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;113;40;39033321;8;NA;NA;0;NA;1;NA;NA;NA;NA;VU;VU;VU;VU;VU;VU;WAN;NA;NA
324;Eschweilera micrantha;Lecythidaceae;Eschweilera;(O. Berg) Miers;http://www.tropicos.org/Name/17900043;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1324;155;199258183;8;NA;NA;0;NA;NA;Least Concern;2020;NA;VU;VU;VU;VU;EN;VU;EN;CA;NA;NA
325;Eschweilera ovata;Lecythidaceae;Eschweilera;(Cambess.) Miers;http://www.tropicos.org/Name/17900353;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;313;39;87565802;8;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
326;Eschweilera paniculata;Lecythidaceae;Eschweilera;(O. Berg) Miers;http://www.tropicos.org/Name/17900381;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;12;2;7697420;7;NA;NA;0;NA;NA;NA;NA;NA;VU;VU;EN;VU;EN;EN;EN;CA;NA;NA
327;Eschweilera parviflora;Lecythidaceae;Eschweilera;(Aubl.) Miers;http://www.tropicos.org/Name/17900362;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1859;134;507785493;9;1;4;0.03;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;EN;GS;NA;NA
328;Eschweilera pedicellata;Lecythidaceae;Eschweilera;(Rich.) S.A. Mori;http://www.tropicos.org/Name/17900357;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;1887;295;452125976;9;1;4;0.18;NA;NA;Least Concern;2020;VU;VU;VU;VU;VU;EN;EN;EN;GS;NA;NA
329;Eschweilera sagotiana;Lecythidaceae;Eschweilera;Miers;http://www.tropicos.org/Name/17900048;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;2643;97;458999602;9;1;4;0.08;NA;NA;Least Concern;2019;VU;VU;VU;EN;EN;EN;EN;CR;GS;NA;NA
330;Eschweilera simiorum;Lecythidaceae;Eschweilera;(Benoist) Eyma;http://www.tropicos.org/Name/50098917;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;54;36;11562118;7;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
331;Eschweilera subglandulosa;Lecythidaceae;Eschweilera;(Steud. ex O. Berg) Miers;http://www.tropicos.org/Name/17900359;tree;NA;NA;NA;NA;NA;NA;1;NA;NA;1;1;908;66;253705458;8;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;EN;VU;EN;EN;EN;GS;NA;NA
332;Eugenia coffeifolia;Myrtaceae;Eugenia;DC.;http://www.tropicos.org/Name/22103442;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;125;50;46172189;8;NA;NA;0;NA;NA;Least Concern;2019;VU;VU;EN;CR;EN;CR;CR;CR;GS;NA;NA
